YYYY,MM,DD,DHW,BAA
1987,7,15,12.1971,4
1987,7,16,12.5157,4
1987,7,17,12.8486,4
1987,7,18,13.1286,4
1987,7,19,13.4929,4
1987,7,20,13.6414,4
1987,7,21,13.9086,4
1987,7,22,14.1586,4
1987,7,23,14.3386,4
1987,7,24,14.6457,4
1987,7,25,14.8186,4
1987,7,26,15.1386,4
1987,7,27,15.4157,4
1987,7,28,15.6814,4
1987,7,29,15.9786,4
1987,7,30,16.2786,4
1987,7,31,16.2914,4
1987,8,1,16.3257,4
1987,8,2,16.32,4
1987,8,3,16.4114,4
1987,8,4,16.5757,4
1987,8,5,16.7057,4
1987,8,6,16.8443,4
1987,8,7,17.1443,4
1987,8,8,17.4271,4
1987,8,9,17.7186,4
1987,8,10,17.9771,4
1987,8,11,18.2357,4
1987,8,12,18.4857,4
1987,8,13,18.7157,4
1987,8,14,18.76,4
1987,8,15,18.7529,4
1987,8,16,18.6029,4
1987,8,17,18.8243,4
1987,8,18,18.9271,4
1987,8,19,18.9771,4
1987,8,20,18.9729,4
1987,8,21,18.77,4
1987,8,22,18.5743,4
1987,8,23,18.3929,4
1987,8,24,18.3929,4
1987,8,25,18.2143,4
1987,8,26,18.29,4
1987,8,27,18.4229,4
1987,8,28,18.53,4
1987,8,29,18.64,4
1987,8,30,18.8086,4
1987,8,31,19.1029,4
1987,9,1,19.3814,4
1987,9,2,19.65,4
1987,9,3,19.9014,4
1987,9,4,19.8971,4
1987,9,5,19.7929,4
1987,9,6,19.9186,4
1987,9,7,20.0186,4
1987,9,8,20.2929,4
1987,9,9,20.4729,4
1987,9,10,20.4071,4
1987,9,11,20.2829,4
1987,9,12,20.1857,4
1987,9,13,20.0957,4
1987,9,14,19.8429,4
1987,9,15,19.5786,4
1987,9,16,19.3414,4
1987,9,17,19.2529,4
1987,9,18,19.1714,4
1987,9,19,19.1386,4
1987,9,20,19.1157,4
1987,9,21,19.0029,4
1987,9,22,18.9129,4
1987,9,23,18.8229,4
1987,9,24,18.7729,4
1987,9,25,18.7157,4
1987,9,26,18.6343,4
1987,9,27,18.5429,4
1987,9,28,18.3,4
1987,9,29,18.0786,4
1987,9,30,18.0114,4
1987,10,1,17.8086,4
1987,10,2,17.7186,4
1987,10,3,17.7229,4
1987,10,4,17.5929,4
1987,10,5,17.4857,4
1987,10,6,17.3671,4
1987,10,7,17.1471,4
1987,10,8,16.8286,4
1987,10,9,16.6557,4
1987,10,10,16.5429,4
1987,10,11,16.3457,4
1987,10,12,16.2043,4
1987,10,13,15.9371,4
1987,10,14,15.8629,4
1987,10,15,15.9143,4
1987,10,16,15.8657,4
1987,10,17,15.7714,4
1987,10,18,15.6529,4
1987,10,19,15.5471,4
1987,10,20,15.4429,4
1987,10,21,15.3571,4
1987,10,22,15.2771,4
1987,10,23,15.2743,4
1987,10,24,15.2714,4
1987,10,25,15.2386,4
1987,10,26,14.9743,4
1987,10,27,14.9257,4
1987,10,28,14.9029,4
1987,10,29,14.8714,4
1987,10,30,14.8057,4
1987,10,31,14.6957,4
1987,11,1,14.4043,4
1987,11,2,14.1457,4
1987,11,3,13.8871,4
1987,11,4,13.8157,4
1987,11,5,13.8371,4
1987,11,6,13.83,4
1987,11,7,13.9143,4
1987,11,8,14.1257,4
1987,11,9,14.1143,4
1987,11,10,14.0114,4
1987,11,11,13.7757,4
1987,11,12,13.5986,4
1987,11,13,13.5986,4
1987,11,14,13.5986,4
1987,11,15,13.7857,4
1987,11,16,14.03,4
1987,11,17,14.2557,4
1987,11,18,14.1757,4
1987,11,19,13.9943,4
1987,11,20,13.8643,4
1987,11,21,13.7629,4
1987,11,22,13.65,4
1987,11,23,13.5314,4
1987,11,24,13.2529,4
1987,11,25,13.1457,4
1987,11,26,13.0586,4
1987,11,27,13.0443,4
