"Site","GenSiteID","Class","Year","CoralSize","log_CoralSize","Recruitment","Mortality","GrowthRate","Next_Year_Mortality","Max_DHW","Max_DHW_Lag1","Max_DHW_Lag2","Mortality_Lag1","FirstYear","first_recruitment_year","first_mortality_year","SiteMortality_Prop","SiteMortality_Prop_Lag1"
"FR14","FR14_236","coral_G",2019,109.53606693,4.69625387337958,0,0,-0.955270924126729,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_2378","coral_I",2019,30.75554894,3.42607043130612,0,0,0.0979648136966972,0,6.3129,4.63,0,0,0,2016,NA,0.198215124471584,0.198215124471584
"FR14","FR14_2385","coral_I",2019,8.07210855,2.0884147306814,1,0,0,0,6.3129,4.63,0,0,0,2019,NA,0.198215124471584,0.198215124471584
"FR14","FR14_24","coral_I",2019,420.20624872,6.04074565912375,1,0,0,0,6.3129,4.63,0,1,0,2019,2018,0.198215124471584,0.198215124471584
"FR14","FR14_240","coral_G",2019,320.04687354,5.76846746487915,0,0,0.151851954988458,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_243","coral_I",2019,3674.74995776,8.20924037062744,1,0,0,0,6.3129,4.63,0,1,0,2019,2018,0.198215124471584,0.198215124471584
"FR14","FR14_2444","coral_B",2019,22.76497684,3.12522325143503,0,0,0.0364737731176445,0,6.3129,4.63,0,0,0,2017,2015,0.198215124471584,0.198215124471584
"FR14","FR14_245","coral_I",2019,1440.9121444,7.27303162564677,0,0,-0.268647371139394,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_2455","coral_B",2019,34.60406938,3.54397128728664,0,0,0.530816770244555,0,6.3129,4.63,0,0,0,2017,2015,0.198215124471584,0.198215124471584
"FR14","FR14_2491","coral_I",2019,9.60499381,2.2622831517643,0,0,-0.906394728917017,0,6.3129,4.63,0,0,0,2016,NA,0.198215124471584,0.198215124471584
"FR14","FR14_2499","coral_B",2019,46.36162547,3.83647207976371,0,0,-0.0849280734676967,0,6.3129,4.63,0,0,0,2017,2015,0.198215124471584,0.198215124471584
"FR14","FR14_25","coral_I",2019,539.6082261,6.29084336902837,0,0,0.0150722195570183,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_250","coral_G",2019,403.05097964,5.99906305429358,0,0,0.18143184103987,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_2503","coral_B",2019,23.71079966,3.16593062620618,0,0,0.0208485661215435,0,6.3129,4.63,0,0,0,2017,2015,0.198215124471584,0.198215124471584
